55 10
0 33 15
0 36 15
0 19 15
0 29 8
0 45 5
0 17 17
0 25 9
0 23 1
0 6 19
0 22 11
0 8 13
1 16 8
1 35 18
1 3 9
1 11 20
1 17 6
1 49 17
1 2 1
1 12 4
1 54 7
1 5 6
1 33 2
2 23 8
2 47 1
2 30 13
2 1 14
2 46 19
2 27 6
2 54 9
2 50 9
2 53 2
2 37 18
2 43 9
3 50 12
3 21 11
3 37 20
3 34 15
3 17 9
3 52 15
3 48 7
3 7 20
3 12 6
3 36 12
3 11 7
4 10 8
4 47 20
4 26 6
4 3 5
4 35 7
4 53 8
4 38 20
4 54 9
4 16 1
4 45 19
4 40 3
5 54 20
5 39 1
5 46 6
5 24 8
5 15 1
5 32 11
5 0 1
5 9 5
5 37 3
5 43 4
5 6 18
6 43 1
6 10 19
6 35 3
6 7 20
6 13 16
6 39 7
6 32 20
6 14 10
6 38 19
6 48 12
6 1 13
7 16 19
7 45 8
7 19 20
7 27 14
7 13 14
7 36 16
7 54 14
7 9 17
7 43 11
7 31 1
7 20 19
8 33 2
8 16 1
8 41 5
8 28 11
8 10 12
8 38 9
8 9 20
8 51 1
8 34 1
8 26 19
8 37 20
9 5 3
9 30 8
9 47 8
9 54 13
9 51 16
9 20 4
9 24 4
9 25 9
9 28 18
9 32 3
9 18 7
10 40 17
10 41 11
10 28 15
10 49 13
10 32 17
10 14 6
10 6 13
10 35 11
10 46 20
10 31 5
10 13 16
11 52 13
11 36 1
11 47 12
11 40 15
11 32 12
11 8 15
11 31 20
11 34 8
11 44 4
11 6 8
11 21 12
12 49 12
12 48 8
12 54 1
12 52 2
12 5 19
12 28 19
12 35 6
12 11 7
12 30 8
12 41 18
12 16 10
13 10 2
13 25 19
13 11 8
13 37 5
13 5 13
13 29 6
13 4 15
13 50 2
13 47 19
13 35 17
13 0 16
14 4 7
14 25 5
14 50 19
14 47 4
14 34 1
14 5 1
14 2 1
14 37 2
14 11 8
14 39 20
14 52 11
15 29 7
15 2 9
15 33 16
15 13 20
15 31 10
15 26 14
15 19 9
15 44 16
15 34 17
15 1 10
15 23 6
16 35 10
16 2 7
16 1 6
16 36 3
16 52 13
16 46 1
16 29 8
16 26 19
16 28 6
16 39 2
16 43 13
17 4 5
17 41 19
17 10 20
17 14 20
17 37 16
17 0 18
17 27 20
17 1 14
17 23 16
17 40 19
17 7 18
18 2 10
18 0 1
18 21 3
18 41 9
18 16 6
18 15 9
18 13 10
18 9 5
18 7 11
18 23 7
18 19 5
19 35 3
19 53 16
19 36 15
19 42 16
19 10 14
19 11 19
19 4 14
19 12 10
19 8 1
19 47 4
19 33 8
20 17 7
20 14 15
20 1 3
20 0 11
20 45 15
20 32 13
20 36 7
20 35 1
20 12 6
20 5 6
20 10 13
21 11 4
21 54 13
21 10 20
21 45 3
21 22 17
21 19 1
21 24 2
21 33 10
21 38 12
21 9 5
21 26 4
22 46 5
22 8 8
22 49 16
22 48 4
22 51 11
22 37 1
22 5 5
22 7 15
22 26 20
22 15 20
22 39 3
23 10 14
23 54 9
23 3 16
23 5 13
23 1 3
23 51 14
23 26 13
23 25 20
23 37 3
23 22 9
23 40 10
24 26 13
24 27 9
24 16 14
24 9 15
24 36 15
24 5 15
24 15 4
24 44 2
24 32 6
24 42 13
24 7 13
25 37 1
25 5 19
25 15 2
25 46 16
25 36 8
25 22 8
25 9 18
25 50 1
25 10 1
25 12 16
25 18 13
26 51 3
26 0 15
26 1 2
26 47 16
26 23 5
26 3 19
26 27 7
26 28 16
26 12 2
26 52 12
26 45 4
27 45 15
27 51 5
27 18 10
27 20 19
27 50 5
27 9 8
27 29 19
